Date,Temperature,Wind Speed,Solar Radiation,Energy Demand,Grid Utilization
9/1/2023 0:00,16.24,2.77,180.84,1109.04,742.23
9/1/2023 1:00,33.52,3.03,631.68,1169.53,813.05
9/1/2023 2:00,26.96,5.8,639.43,373.64,310.45
9/1/2023 3:00,22.96,0.77,476.88,423.01,371.15
9/1/2023 4:00,9.68,5.97,488.66,725.63,577.83
9/1/2023 5:00,9.68,7.68,148.54,291.25,214.22
9/1/2023 6:00,6.74,7.25,564.89,636.45,454.06
9/1/2023 7:00,30.99,5.74,554.27,781.79,602.16
9/1/2023 8:00,23.03,12.59,234.59,722.07,458.8
9/1/2023 9:00,26.24,2.18,193.46,530.91,394.28
9/1/2023 10:00,5.62,7.59,211.22,742.45,561.11
9/1/2023 11:00,34.1,0.93,190.93,1158.8,603.09
9/1/2023 12:00,29.97,1.07,648.74,406.02,378.8
9/1/2023 13:00,11.37,8.61,276.83,854.83,480.62
9/1/2023 14:00,10.45,8.49,326.29,243.4,332.54
9/1/2023 15:00,10.5,13.17,256.21,266.42,186.37
9/1/2023 16:00,14.13,8.37,962.05,751.83,679.99
9/1/2023 17:00,20.74,14.4,869.16,304.94,353.59
9/1/2023 18:00,17.96,0.73,307.45,222.35,154.67
9/1/2023 19:00,13.74,1.47,394.81,371.51,255.62
9/1/2023 20:00,23.36,0.66,288.9,764.85,595.91
9/1/2023 21:00,9.18,2.78,542.69,903.34,698.06
9/1/2023 22:00,13.76,8.12,117.65,402.48,361.38
9/1/2023 23:00,15.99,9.68,704.23,868.26,663.61
9/2/2023 0:00,18.68,0.68,570.84,382.48,357.98
9/2/2023 1:00,28.56,14.19,908.78,813.46,655.05
9/2/2023 2:00,10.99,12.63,247.95,611.96,401.15
9/2/2023 3:00,20.43,4.45,823.7,853.8,624.48
9/2/2023 4:00,22.77,1.16,812.76,1195.05,883.67
9/2/2023 5:00,6.39,2.55,214.46,1137.82,685.87
9/2/2023 6:00,23.23,1.9,458.7,204.28,236.21
9/2/2023 7:00,10.12,1.85,253.14,1085.44,710.21
9/2/2023 8:00,6.95,7.78,329.25,266.49,239.35
9/2/2023 9:00,33.47,3.69,336.92,1153.05,842.6
9/2/2023 10:00,33.97,5.37,600.61,481.83,406.79
9/2/2023 11:00,29.25,14.84,470.27,582.03,479.63
9/2/2023 12:00,14.14,10.26,952.96,291.64,467.12
9/2/2023 13:00,7.93,14.23,213.73,312.27,294.02
9/2/2023 14:00,25.53,2.14,976.32,926.74,808.75
9/2/2023 15:00,18.2,5.73,307.57,1144.33,732.21
9/2/2023 16:00,8.66,8.32,795.59,810.75,656.22
9/2/2023 17:00,19.86,1.15,405.07,915.85,564.5
9/2/2023 18:00,6.03,0.06,228.77,961.97,647.88
9/2/2023 19:00,32.28,10.06,872.1,462.81,464.83
9/2/2023 20:00,12.76,9.63,377.97,245.23,222.94
9/2/2023 21:00,24.88,6.16,692.97,201.87,310.46
9/2/2023 22:00,14.35,7.34,609.8,550.65,391.23
9/2/2023 23:00,20.6,6.23,524.58,441.46,450.91
9/3/2023 0:00,21.4,0.36,546.24,262.32,311.69
9/3/2023 1:00,10.55,5.03,759.01,379.53,375.49
9/3/2023 2:00,34.09,2.66,179,324.5,222.8
9/3/2023 3:00,28.25,1.48,701.36,1114.88,833.08
9/3/2023 4:00,33.18,14.35,906.23,340.27,460.01
9/3/2023 5:00,31.84,8.99,152.01,737.65,477.17
9/3/2023 6:00,22.94,10.93,226.59,793.11,527.29
9/3/2023 7:00,32.66,4.73,744.97,743.49,595.52
9/3/2023 8:00,7.65,5.9,493.55,299.06,366.66
9/3/2023 9:00,10.88,3.55,463.19,518.8,385.12
9/3/2023 10:00,6.36,1.45,223.27,251.27,193.8
9/3/2023 11:00,14.76,2.69,556.09,595.67,541.52
9/3/2023 12:00,16.66,11.96,213.89,388.6,282.09
9/3/2023 13:00,13.14,10.16,528.96,761.63,618.61
9/3/2023 14:00,29.86,8.2,787.25,892.81,646.75
9/3/2023 15:00,15.7,7.13,332.44,732.12,494.78
9/3/2023 16:00,13.43,13.84,532.71,634.24,559.92
9/3/2023 17:00,21.28,1.09,992.81,587.33,517.04
9/3/2023 18:00,9.23,4.21,717.99,1041.69,760.63
9/3/2023 19:00,29.07,5.25,857.22,419.37,435.37
9/3/2023 20:00,7.24,11.74,473.36,934.22,604.57
9/3/2023 21:00,34.61,14.89,791.07,957.48,710.53
9/3/2023 22:00,28.17,3.61,136.46,619.2,404.08
9/3/2023 23:00,10.96,13.11,210.62,497.3,341.53
9/4/2023 0:00,5.17,12.46,282.76,670.54,521.65
9/4/2023 1:00,29.46,3.37,461.76,293.21,345.02
9/4/2023 2:00,26.21,5.99,861.17,245.93,276.39
9/4/2023 3:00,26.87,6.15,411.64,311.6,274.24
9/4/2023 4:00,28.14,14.67,689.16,387.15,402.36
9/4/2023 5:00,7.22,2.71,738.38,704.18,645.73
9/4/2023 6:00,15.75,11.99,627.56,1049.14,789.72
9/4/2023 7:00,8.48,5.01,421.52,435.64,359.73
9/4/2023 8:00,30.89,10.96,619.35,1135.16,837.2
9/4/2023 9:00,23.7,6.3,408.04,1154.91,807.61
9/4/2023 10:00,14.93,8.68,175.49,1158.9,683.19
9/4/2023 11:00,6.91,12.49,993.52,1037.56,829.63
9/4/2023 12:00,14.33,12.06,214.46,563.83,452.94
9/4/2023 13:00,14.76,13,165.11,272.68,184.97
9/4/2023 14:00,26.89,0.89,890.68,768.82,645.81
9/4/2023 15:00,24.13,10.38,371.65,758.68,516.38
9/4/2023 16:00,31.62,2.1,685.27,1049.98,651.14
9/4/2023 17:00,19.17,6.24,396.11,1195.99,797.22
9/4/2023 18:00,8.59,8.23,452.31,708.16,529.62
9/4/2023 19:00,26.4,6.04,335.9,545.2,368.07
9/4/2023 20:00,27.82,7.79,408.74,385.9,254.78
9/4/2023 21:00,21.84,14.95,469.63,204.8,171.28
9/4/2023 22:00,28.13,2.03,748.37,709.11,613.15
9/4/2023 23:00,19.81,10.13,560.38,755.52,663
9/5/2023 0:00,20.68,5.94,949.21,1024.94,873.33
9/5/2023 1:00,17.83,2,137.69,704.58,382.87
9/5/2023 2:00,5.76,2.38,552.76,1116.47,822.93
9/5/2023 3:00,8.24,14.24,625.8,828.08,587.43
9/5/2023 4:00,5.94,13.19,928.18,1040.34,779.4
9/5/2023 5:00,24.09,13.61,144.24,348.3,213.37
9/5/2023 6:00,14.43,14.87,616.15,1055.34,790.25
9/5/2023 7:00,20.26,3.12,868.27,875.14,746.39
9/5/2023 8:00,32.23,5.33,317.73,370.23,280.25
9/5/2023 9:00,12.48,10.04,888.66,389.76,406.53
9/5/2023 10:00,17.31,7.26,117.14,1126.5,721.82
9/5/2023 11:00,27.67,6.28,759.21,232.22,318.94
9/5/2023 12:00,11.86,5.37,939.8,662.53,643.76
9/5/2023 13:00,7.31,8.91,691.48,513.48,381.27
9/5/2023 14:00,13.69,8.63,495.13,865.08,618.21
9/5/2023 15:00,9.84,2.42,140.39,1039.63,598.21
9/5/2023 16:00,32.89,7.08,928.1,560.38,518.59
9/5/2023 17:00,29.24,8.3,523.27,626.9,468.66
9/5/2023 18:00,24,8.55,126.1,1181.92,731.18
9/5/2023 19:00,31.14,3.15,720.84,983.92,694.22
9/5/2023 20:00,29.11,11.13,533.65,1097.2,689.58
9/5/2023 21:00,10.6,0.38,211.91,638.76,320.88
9/5/2023 22:00,31.78,5.32,292.84,434.08,311.92
9/5/2023 23:00,21.18,11.7,158.04,611.86,376.01
9/6/2023 0:00,29.22,8.46,616.86,916.09,638.39
9/6/2023 1:00,31.88,3.92,659.83,309.43,383.36
9/6/2023 2:00,14.54,10.42,555.17,470.47,349.3
9/6/2023 3:00,8.3,8.51,835.39,246.64,385.05
9/6/2023 4:00,11.84,11.94,874.91,632.35,634.39
9/6/2023 5:00,17.81,11.03,654.06,1027.45,648.63
9/6/2023 6:00,29.54,9.15,111.48,224.66,160.8
9/6/2023 7:00,30.82,7.32,725.71,875.32,649.62
9/6/2023 8:00,5.21,2,476.2,1132.5,628.95
9/6/2023 9:00,20.32,3.92,609,436.93,311.33
